step Epot press
0 -143.01 164.66
1000 -91.40 459.67
2000 -87.35 403.87
3000 -81.05 369.63
4000 -73.44 368.60
5000 -78.79 285.13
6000 -66.71 377.06
7000 -74.58 233.13
8000 -73.07 215.09
9000 -70.79 240.32
10000 -69.71 258.39
11000 -65.19 282.22
12000 -59.69 324.14
13000 -65.44 245.33
14000 -65.67 249.68
15000 -58.98 324.64
16000 -59.44 340.41
17000 -61.28 313.78
18000 -63.10 271.05
19000 -64.79 242.32
20000 -67.57 240.41
