step Epot press
0 -249.36 -28.41
1000 -175.49 1933.43
2000 -158.73 2217.50
3000 -163.39 1980.15
4000 -162.97 1854.16
5000 -154.38 1988.48
6000 -155.86 1881.87
7000 -149.16 1919.58
8000 -160.67 1537.40
9000 -153.78 1712.81
10000 -153.11 1795.80
11000 -156.66 1649.97
12000 -150.16 1731.54
13000 -144.06 1924.82
14000 -148.85 1875.17
15000 -155.26 1542.59
16000 -158.07 1490.60
17000 -155.32 1593.73
18000 -154.58 1626.48
19000 -149.76 1651.78
20000 -149.65 1671.26
