step Epot press
0 -9.38 30810.19
1000 98.40 36384.67
2000 113.61 37201.52
3000 117.16 37336.06
4000 124.81 37764.94
5000 111.00 36922.23
6000 108.46 36784.34
7000 94.57 36100.59
8000 108.39 36807.33
9000 85.09 35563.23
10000 83.58 35456.69
11000 90.25 35863.99
12000 89.45 35821.65
13000 79.78 35356.42
14000 91.07 35868.56
15000 88.83 35737.18
16000 65.92 34530.89
17000 63.84 34418.32
18000 50.54 33727.55
19000 72.43 34927.33
20000 77.09 35117.76
