step Epot press
0 -91.72 124.58
1000 -59.01 220.54
2000 -53.81 191.88
3000 -45.06 191.75
4000 -47.30 157.45
5000 -47.03 137.33
6000 -45.35 148.33
7000 -45.69 143.04
8000 -42.75 142.27
9000 -39.78 164.93
10000 -42.26 142.88
11000 -39.80 155.10
12000 -37.35 151.62
13000 -37.52 156.45
14000 -39.42 143.23
15000 -36.15 161.36
16000 -38.09 155.79
17000 -38.35 141.54
18000 -36.17 162.17
19000 -35.94 164.47
20000 -38.40 139.60
