step Epot press
0 -104.88 148.71
1000 -63.05 334.71
2000 -64.51 241.66
3000 -59.03 205.26
4000 -56.10 208.50
5000 -46.23 252.85
6000 -51.92 208.74
7000 -53.46 180.79
8000 -43.94 247.41
9000 -48.10 227.47
10000 -43.46 260.72
11000 -49.80 192.35
12000 -47.97 200.78
13000 -48.81 217.64
14000 -48.13 219.14
15000 -43.49 254.12
16000 -53.18 166.70
17000 -49.36 177.80
18000 -47.25 198.65
19000 -49.57 180.70
20000 -47.17 207.83
