step Epot press
0 -216.27 177.04
1000 -149.87 1256.58
2000 -142.45 1126.31
3000 -142.33 990.01
4000 -133.01 1076.62
5000 -124.33 1129.86
6000 -122.52 1099.98
7000 -131.42 825.17
8000 -135.10 730.74
9000 -132.88 811.20
10000 -132.52 790.98
11000 -118.93 1065.00
12000 -121.35 1048.68
13000 -122.67 916.86
14000 -119.32 1043.58
15000 -127.87 883.38
16000 -133.73 694.41
17000 -125.09 844.95
18000 -126.88 899.10
19000 -128.31 775.56
20000 -125.13 911.57
