step Epot press
0 -164.21 182.10
1000 -106.99 652.24
2000 -104.60 524.32
3000 -98.24 475.66
4000 -82.61 605.27
5000 -89.15 460.89
6000 -85.00 457.99
7000 -84.66 455.60
8000 -90.54 316.18
9000 -78.70 446.18
10000 -84.99 377.61
11000 -77.27 414.88
12000 -80.57 354.49
13000 -80.45 342.52
14000 -74.84 440.47
15000 -85.46 296.79
16000 -76.08 463.62
17000 -84.29 340.53
18000 -82.66 398.44
19000 -78.34 443.44
20000 -80.41 422.14
