step Epot press
0 -294.36 4644.72
1000 -180.72 9596.04
2000 -168.25 10079.65
3000 -157.38 10500.01
4000 -151.84 10775.07
5000 -165.58 10141.30
6000 -155.47 10552.57
7000 -164.60 10183.12
8000 -162.88 10145.49
9000 -161.38 10240.83
10000 -164.72 10114.09
11000 -157.15 10423.07
12000 -161.70 10216.98
13000 -176.27 9605.83
14000 -162.88 10227.33
15000 -153.26 10572.99
16000 -184.47 9222.20
17000 -168.43 9850.07
18000 -175.87 9632.93
19000 -165.14 10105.06
20000 -160.90 10279.88
