step Epot press
0 -290.47 147.46
1000 -200.55 3406.78
2000 -201.82 3340.52
3000 -197.05 3470.64
4000 -183.28 3915.76
5000 -185.33 3721.27
6000 -186.55 3566.44
7000 -186.90 3471.39
8000 -194.41 3138.92
9000 -183.33 3631.02
10000 -185.42 3558.54
11000 -179.55 3723.50
12000 -165.56 4262.79
13000 -178.64 3793.29
14000 -169.47 4073.48
15000 -179.09 3690.71
16000 -187.47 3396.24
17000 -190.34 3311.61
18000 -185.60 3476.28
19000 -189.14 3329.21
20000 -178.01 3751.58
